x,f_hz,V_real,V_imag,l,b,h,rho,E0,eta,F_tip,m_tip,k_phi,k_x,use_ideal
0.2,986.0,-2.3614562210459988e-05,-0.01612414546539064,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,987.0,-2.305656115411077e-05,-0.01611253552759405,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,988.0,-2.2522422780611676e-05,-0.016100839749785763,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,989.0,-2.2010859231832458e-05,-0.016089062986561285,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,990.0,-2.1520669621296645e-05,-0.016077209830488708,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,991.0,-2.105073311781595e-05,-0.016065284629412292,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,992.0,-2.060000266259954e-05,-0.01605329150241462,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,993.0,-2.0167499254475044e-05,-0.01604123435455657,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,994.0,-1.9752306745374415e-05,-0.01602911689050271,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,995.0,-1.9353567094756255e-05,-0.016016942627128876,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,996.0,-1.897047603737098e-05,-0.016004714905199436,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,997.0,-1.8602279123817537e-05,-0.015992436900193127,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,998.0,-1.8248268097724223e-05,-0.01598011163234897,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,999.0,-1.7907777577345814e-05,-0.015967741975996916,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,1000.0,-1.75801820126979e-05,-0.015955330668231883,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
